,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,0.06,0.0025,0.0025,0.0025,0.0575,0.0575,0.0,23.0,0.9589948192748249,0.918442231963842
2,2,0.1075,0.0,0.0,0.0025,0.105,0.05,0.0025,19.9975,1.0275422578503397,0.966017679253729
3,3,0.14,0.0,0.0,0.0025,0.1375,0.0375,0.005,14.995,1.0142738529721262,0.9773532299068981
4,4,0.1775,0.0,0.0,0.0025,0.175,0.045,0.0075,17.9925,1.0063513074728616,0.9947583032962592
5,5,0.2375,0.0025,0.0025,0.005,0.2325,0.07,0.0125,27.9875,0.8934316761843897,0.9313397537056926
6,6,0.255,0.0025,0.0025,0.0075,0.2475,0.0275,0.0125,10.9875,0.8450246812250094,0.8917910956327169
7,7,0.26,0.0025,0.0025,0.01,0.25,0.025,0.0225,9.9775,0.9067744919383754,0.9571399415283904
8,8,0.285,0.0025,0.0025,0.0125,0.2725,0.035,0.0125,13.9875,0.8816183496852666,0.9598231115446387
9,9,0.3275,0.0025,0.0025,0.015,0.3125,0.0475,0.0075,18.9925,0.8574536992364787,0.9929282032315546
10,10,0.345,0.0,0.0025,0.0175,0.3275,0.0475,0.0325,18.9675,0.7911120176419469,0.9350535821680164
11,11,0.3525,0.0025,0.0025,0.02,0.3325,0.0275,0.0225,10.9775,0.8065519834630327,0.9651192383192639
12,12,0.3725,0.0,0.0025,0.02,0.3525,0.035,0.0175,13.9825,0.7967485847654813,0.9859399850703033
13,13,0.3925,0.0,0.0025,0.02,0.3725,0.0325,0.015,12.985,0.7162594973561182,0.9110163859926073
14,14,0.405,0.0025,0.0025,0.0225,0.3825,0.03,0.02,11.98,0.7591100020919296,0.9835161183473583
15,15,0.405,0.0,0.0025,0.02,0.385,0.025,0.0275,9.9725,0.7630041948377517,0.989770218753967
16,16,0.4175,0.0025,0.0025,0.0225,0.395,0.025,0.015,9.985,0.7417626013279748,0.9805094022747841
17,17,0.43,0.0025,0.0025,0.025,0.405,0.0275,0.0175,10.9825,0.654536339209218,0.8830898059293191
18,18,0.4325,0.0,0.0025,0.025,0.4075,0.03,0.03,11.97,0.6927165289876678,0.934200448215144
19,19,0.4225,0.0,0.0025,0.0175,0.405,0.0225,0.035,8.965,0.7381804148085565,0.9798115003242807
20,20,0.4225,0.0025,0.0025,0.02,0.4025,0.02,0.0225,7.9775,0.7368403211572527,0.9780327492971359
21,21,0.4375,0.0025,0.0025,0.02,0.4175,0.035,0.0225,13.9775,0.7220388363087282,0.9879069571185178
22,22,0.435,0.0025,0.0025,0.0225,0.4125,0.025,0.03,9.97,0.6972631194859598,0.9507562548782614
23,23,0.4375,0.0025,0.0025,0.025,0.4125,0.025,0.025,9.975,0.6948855565245913,0.9531946747893593
24,24,0.43,0.0025,0.0025,0.0275,0.4025,0.025,0.035,9.965,0.6704098724571372,0.9079501916270105
25,25,0.4425,0.0,0.0025,0.0275,0.415,0.025,0.015,9.985,0.6974443678093991,0.9658025000866333
26,26,0.455,0.0025,0.0025,0.03,0.425,0.0325,0.0225,12.9775,0.6847920415988881,0.971355817195805
27,27,0.4525,0.0,0.0025,0.03,0.4225,0.0225,0.0275,8.9725,0.6595169706768157,0.9321981957693308
28,28,0.4575,0.0,0.0025,0.03,0.4275,0.0275,0.025,10.975,0.677418910165981,0.9655929419033111
29,29,0.47,0.0,0.0025,0.0325,0.4375,0.025,0.015,9.985,0.6124155493759827,0.8959930452514623
30,30,0.4825,0.0,0.0025,0.035,0.4475,0.035,0.025,13.975,0.6355613329035684,0.9510975942883818
31,31,0.485,0.0025,0.0025,0.0375,0.4475,0.0325,0.0325,12.9675,0.5892178369055295,0.8813965655310962
32,32,0.5,0.0025,0.0025,0.04,0.46,0.0275,0.015,10.985,0.6055823071007486,0.9332431702175279
33,33,0.495,0.0025,0.0025,0.0425,0.4525,0.0275,0.035,10.965,0.6460728990731229,0.983876358294603
34,34,0.51,0.0,0.0025,0.0425,0.4675,0.03,0.0175,11.9825,0.6265415251479829,0.984897610681757
35,35,0.5075,0.0,0.0025,0.0425,0.465,0.02,0.025,7.975,0.6336269368035441,0.9907149313408081
36,36,0.5075,0.0,0.0025,0.04,0.4675,0.02,0.0225,7.9775,0.6114749663919722,0.9574509134998626
37,37,0.52,0.0025,0.0025,0.0425,0.4775,0.0175,0.0075,6.9925,0.5766468571189999,0.92771151373718
38,38,0.53,0.0025,0.0025,0.045,0.485,0.0275,0.02,10.98,0.6026102066934507,0.9912314332024635
39,39,0.5225,0.0,0.0025,0.04,0.4825,0.025,0.035,9.965,0.6065009908001141,0.9796812367774133
40,40,0.5125,0.0,0.0025,0.0425,0.47,0.0175,0.03,6.97,0.5946975366163678,0.9398865456880764
41,41,0.5025,0.0,0.0025,0.0375,0.465,0.0275,0.04,10.96,0.6236143714764432,0.9674959666521007
42,42,0.52,0.0,0.0025,0.0375,0.4825,0.0325,0.0175,12.9825,0.5845392351086965,0.9404087995047438
43,43,0.5275,0.0025,0.0025,0.0375,0.49,0.0225,0.0175,8.9825,0.6068039385514775,0.992564959396613
44,44,0.525,0.0025,0.0025,0.04,0.485,0.02,0.025,7.975,0.5012287579687582,0.8129177323989198
45,45,0.535,0.0,0.0025,0.04,0.495,0.02,0.0125,7.9875,0.5982804043697336,0.9907775980392685
46,46,0.5375,0.0,0.0025,0.04,0.4975,0.025,0.025,9.975,0.5558009278315894,0.9256545579209916
47,47,0.5225,0.0,0.0025,0.035,0.4875,0.0175,0.035,6.965,0.5990312615800915,0.9647714501147553
48,48,0.535,0.0,0.0025,0.035,0.5,0.0275,0.0175,10.9825,0.5600413621147772,0.9274521303154848
49,49,0.5275,0.0025,0.0025,0.0375,0.49,0.02,0.03,7.97,0.5840631079896127,0.9511190321037889
50,50,0.5425,0.0,0.0025,0.035,0.5075,0.03,0.0175,11.9825,0.5566327104302905,0.9376809028594107
51,51,0.55,0.0,0.0025,0.035,0.515,0.0225,0.0175,8.9825,0.5720949434437268,0.9806001834736244
52,52,0.56,0.0025,0.0025,0.0375,0.5225,0.0175,0.01,6.99,0.4261486772007932,0.7478815764690292
53,53,0.57,0.0025,0.0025,0.04,0.53,0.025,0.0175,9.9825,0.5455583844712638,0.9808359078394677
54,54,0.56,0.0,0.0025,0.04,0.52,0.02,0.0325,7.9675,0.5658291088867621,0.9961590822182258
55,55,0.5625,0.0025,0.0025,0.0425,0.52,0.0225,0.0225,8.9775,0.54687781974494,0.9701269429913986
56,56,0.5675,0.0025,0.0025,0.045,0.5225,0.04,0.0375,15.9625,0.4906295065990413,0.8795437025844385
57,57,0.575,0.0,0.0025,0.0425,0.5325,0.025,0.02,9.98,0.5257598457871027,0.9600400018307539
58,58,0.5675,0.0,0.0025,0.0425,0.525,0.0275,0.0375,10.9625,0.5424689459535722,0.9709176121426348
59,59,0.5775,0.0025,0.0025,0.045,0.5325,0.0225,0.015,8.985,0.5358587486965108,0.9845771626280425
60,60,0.5375,0.0,0.0025,0.04,0.4975,0.0125,0.055,4.945,0.5442644858552815,0.9105654714009994
61,61,0.535,0.0025,0.0025,0.0425,0.4925,0.015,0.02,5.98,0.5979773010172312,0.9932624519942523
62,62,0.5375,0.0025,0.0025,0.045,0.4925,0.025,0.025,9.975,0.5506336091675237,0.9198275390725492
