,phi,rho,te,s
0,1.0,0.0,199.9989233973149,10000.0
1,1.005,0.0,199.9989233973149,10000.0
2,1.01,0.0,199.9989233973149,10000.0
3,1.015,0.0,199.9989233973149,10000.0
4,1.02,0.0,199.9989233973149,10000.0
5,1.025,0.0,199.9989233973149,10000.0
6,1.03,0.0,199.9989233973149,10000.0
7,1.035,0.0,199.9989233973149,10000.0
8,1.04,0.0,199.9989233973149,10000.0
9,1.045,0.0,199.9989233973149,10000.0
10,1.05,0.0,199.9989233973149,10000.0
11,1.055,0.0,199.9989233973149,10000.0
12,1.06,0.0,199.9989233973149,10000.0
13,1.065,0.0,199.9989233973149,10000.0
14,1.07,0.0,199.9989233973149,10000.0
15,1.075,0.0,199.9989233973149,10000.0
16,1.08,0.0,199.9989233973149,10000.0
17,1.085,0.0,199.9989233973149,10000.0
18,1.09,0.0,199.9989233973149,10000.0
19,1.095,0.0,199.9989233973149,10000.0
20,1.1,0.0,199.9989233973149,10000.0
21,1.105,0.0,199.9989233973149,10000.0
22,1.11,0.0,199.9989233973149,10000.0
23,1.115,0.0,199.9989233973149,10000.0
24,1.12,0.0,199.9989233973149,10000.0
25,1.125,0.0,199.9989233973149,10000.0
26,1.13,0.0,199.9989233973149,10000.0
27,1.135,0.0,199.9989233973149,10000.0
28,1.1400000000000001,0.0,199.9989233973149,10000.0
29,1.145,0.0,199.9989233973149,10000.0
30,1.15,0.0,199.9989233973149,10000.0
31,1.155,0.0,199.9989233973149,10000.0
32,1.16,0.0,199.9989233973149,10000.0
33,1.165,0.0,199.9989233973149,10000.0
34,1.17,0.0,199.9989233973149,10000.0
35,1.175,0.0,199.9989233973149,10000.0
36,1.18,0.0,199.9989233973149,10000.0
37,1.185,0.0,199.9989233973149,10000.0
38,1.19,0.0,199.9989233973149,10000.0
39,1.195,0.0,199.9989233973149,10000.0
40,1.2,0.0,199.9989233973149,10000.0
41,1.205,0.0,199.9989233973149,10000.0
42,1.21,0.0,199.9989233973149,10000.0
43,1.215,0.0,199.9989233973149,10000.0
44,1.22,0.0,199.9989233973149,10000.0
45,1.225,0.0,199.9989233973149,10000.0
46,1.23,0.0,199.9989233973149,10000.0
47,1.235,0.0,199.9989233973149,10000.0
48,1.24,0.0,199.9989233973149,10000.0
49,1.245,0.0,199.9989233973149,10000.0
50,1.25,0.0,199.9989233973149,10000.0
51,1.255,0.0,199.9989233973149,10000.0
52,1.26,0.0,199.9989233973149,10000.0
53,1.2650000000000001,0.0,199.9989233973149,10000.0
54,1.27,0.0,199.9989233973149,10000.0
55,1.275,0.0,199.9989233973149,10000.0
56,1.28,0.0,199.9989233973149,10000.0
57,1.2850000000000001,0.0,199.9989233973149,10000.0
58,1.29,0.0,199.9989233973149,10000.0
59,1.295,0.0,199.9989233973149,10000.0
60,1.3,0.0,199.9989233973149,10000.0
61,1.305,0.0,199.9989233973149,10000.0
62,1.31,0.0,199.9989233973149,10000.0
63,1.315,0.0,199.9989233973149,10000.0
64,1.32,0.0,199.9989233973149,10000.0
65,1.325,0.0,199.9989233973149,10000.0
66,1.33,0.0,199.9989233973149,10000.0
67,1.335,0.0,199.9989233973149,10000.0
68,1.34,0.0,199.9989233973149,10000.0
69,1.345,0.0,199.9989233973149,10000.0
70,1.35,0.0,199.9989233973149,10000.0
71,1.355,0.0,199.9989233973149,10000.0
72,1.3599999999999999,0.0,199.9989233973149,10000.0
73,1.365,0.0,199.9989233973149,10000.0
74,1.37,0.0,199.9989233973149,10000.0
75,1.375,0.0,199.9989233973149,10000.0
76,1.38,0.0,199.9989233973149,10000.0
77,1.385,0.0,199.9989233973149,10000.0
78,1.3900000000000001,0.0,199.9989233973149,10000.0
79,1.395,0.0,199.9989233973149,10000.0
80,1.4,0.0,199.9989233973149,10000.0
81,1.405,0.0,199.9989233973149,10000.0
82,1.4100000000000001,0.0,199.9989233973149,10000.0
83,1.415,0.0,199.9989233973149,10000.0
84,1.42,0.0,199.9989233973149,10000.0
85,1.425,0.0,199.9989233973149,10000.0
86,1.43,0.0,199.9989233973149,10000.0
87,1.435,0.0,199.9989233973149,10000.0
88,1.44,0.0,199.9989233973149,10000.0
89,1.445,0.0,199.9989233973149,10000.0
90,1.45,0.0,199.9989233973149,10000.0
91,1.455,0.0,199.9989233973149,10000.0
92,1.46,0.0,199.9989233973149,10000.0
93,1.465,0.0,199.9989233973149,10000.0
94,1.47,0.0,199.9989233973149,10000.0
95,1.475,0.0,199.9989233973149,10000.0
96,1.48,0.0,199.9989233973149,10000.0
97,1.4849999999999999,0.0,199.9989233973149,10000.0
98,1.49,0.0,199.9989233973149,10000.0
99,1.495,0.0,199.9989233973149,10000.0
100,1.5,0.0,199.9989233973149,10000.0
101,1.0,0.001,199.9989233973149,10000.0
102,1.005,0.001,200.40435935709522,399.99999999999983
103,1.01,0.001,200.81556855593342,399.99999999999983
104,1.015,0.001,201.233744695129,399.99999999999983
105,1.02,0.001,201.65900688870647,399.99999999999983
106,1.025,0.001,202.09147630097047,399.99999999999983
107,1.03,0.001,202.5312761819838,399.99999999999983
108,1.035,0.001,202.9785319036577,399.99999999999983
