,p_e,phi,rho,te,s
0,0.0001,1.0,0.0,197.43764913427228,400.5763507907562
1,0.0001,1.05,0.0,197.43764913427228,400.5763507907562
2,0.0001,1.1,0.0,197.43764913427228,400.5763507907562
3,0.0001,1.15,0.0,197.43764913427228,400.5763507907562
4,0.0001,1.2,0.0,197.43764913427228,400.5763507907562
5,0.0001,1.25,0.0,197.43764913427228,400.5763507907562
6,0.0001,1.3,0.0,197.43764913427228,400.5763507907562
7,0.0001,1.35,0.0,197.43764913427228,400.5763507907562
8,0.0001,1.4,0.0,197.43764913427228,400.5763507907562
9,0.0001,1.45,0.0,197.43764913427228,400.5763507907562
10,0.0001,1.5,0.0,197.43764913427228,400.5763507907562
11,0.0001,1.0,0.1,197.43764913427228,400.5763507907562
12,0.0001,1.05,0.1,931.0487762333091,967.669157741995
13,0.0001,1.1,0.1,5462.928213453653,3934.3060375571226
14,0.0001,1.15,0.1,13895.409200635793,8359.937630438153
15,0.0001,1.2,0.1,21638.06012221502,10000.0
16,0.0001,1.25,0.1,28628.300611303024,10000.0
17,0.0001,1.3,0.1,37884.33210192035,10000.0
18,0.0001,1.35,0.1,50158.28506280445,10000.0
19,0.0001,1.4,0.1,66437.31658539199,10000.0
20,0.0001,1.45,0.1,88030.71525230237,10000.0
21,0.0001,1.5,0.1,116675.88976761678,10000.0
22,0.0001,1.0,0.2,197.43764913427228,400.5763507907562
23,0.0001,1.05,0.2,1119.0201461039348,1105.523125051147
24,0.0001,1.1,0.2,5679.835490796237,4014.342062247218
25,0.0001,1.15,0.2,14159.283413465855,8399.597582106044
26,0.0001,1.2,0.2,21975.077387022946,10000.0
27,0.0001,1.25,0.2,29141.651321764504,10000.0
28,0.0001,1.3,0.2,38643.42306487682,10000.0
29,0.0001,1.35,0.2,51256.96723258627,10000.0
30,0.0001,1.4,0.2,68003.65580968211,10000.0
31,0.0001,1.45,0.2,90239.8244777636,10000.0
32,0.0001,1.5,0.2,119767.22909155511,10000.0
