,p_e,phi,rho,te,s
0,0.0001,1,0,197.4376491,400.5763508
1,0.0001,1.05,0,197.4376491,400.5763508
2,0.0001,1.1,0,197.4376491,400.5763508
3,0.0001,1.15,0,197.4376491,400.5763508
4,0.0001,1.2,0,197.4376491,400.5763508
5,0.0001,1.25,0,197.4376491,400.5763508
6,0.0001,1.3,0,197.4376491,400.5763508
7,0.0001,1.35,0,197.4376491,400.5763508
8,0.0001,1.4,0,197.4376491,400.5763508
9,0.0001,1.45,0,197.4376491,400.5763508
10,0.0001,1.5,0,197.4376491,400.5763508
11,0.0001,1,0.1,197.4376491,400.5763508
12,0.0001,1.05,0.1,931.0487762,967.6691577
13,0.0001,1.1,0.1,5462.928213,3934.306038
14,0.0001,1.15,0.1,13895.4092,8359.93763
15,0.0001,1.2,0.1,21638.06012,10000
16,0.0001,1.25,0.1,28628.30061,10000
17,0.0001,1.3,0.1,37884.3321,10000
18,0.0001,1.35,0.1,50158.28506,10000
19,0.0001,1.4,0.1,66437.31659,10000
20,0.0001,1.45,0.1,88030.71525,10000
21,0.0001,1.5,0.1,116675.8898,10000
22,0.0001,1,0.2,197.4376491,400.5763508
23,0.0001,1.05,0.2,1119.020146,1105.523125
24,0.0001,1.1,0.2,5679.835491,4014.342062
25,0.0001,1.15,0.2,14159.28341,8399.597582
26,0.0001,1.2,0.2,21975.07739,10000
27,0.0001,1.25,0.2,29141.65132,10000
28,0.0001,1.3,0.2,38643.42306,10000
29,0.0001,1.35,0.2,51256.96723,10000
30,0.0001,1.4,0.2,68003.65581,10000
31,0.0001,1.45,0.2,90239.82448,10000
32,0.0001,1.5,0.2,119767.2291,10000
33,0.0001,1,0.3,197.4376491,400.5763508
34,0.0001,1.05,0.3,1182.289002,1150.180626
35,0.0001,1.1,0.3,5747.802895,4038.077624
36,0.0001,1.15,0.3,14245.82057,8412.357782
37,0.0001,1.2,0.3,22086.1986,10000
38,0.0001,1.25,0.3,29311.01694,10000
39,0.0001,1.3,0.3,38894.00744,10000
40,0.0001,1.35,0.3,51619.88498,10000
41,0.0001,1.4,0.3,68521.43546,10000
42,0.0001,1.45,0.3,90970.65054,10000
43,0.0001,1.5,0.3,120790.7367,10000
44,0.0001,1,0.4,197.4376491,400.5763508
45,0.0001,1.05,0.4,1213.672757,1171.986634
46,0.0001,1.1,0.4,5781.397982,4049.613598
47,0.0001,1.15,0.4,14289.13202,8418.694648
48,0.0001,1.2,0.4,22141.94904,10000
49,0.0001,1.25,0.4,29395.98143,10000
50,0.0001,1.3,0.4,39019.72449,10000
51,0.0001,1.35,0.4,51802.03488,10000
52,0.0001,1.4,0.4,68781.37594,10000
53,0.0001,1.45,0.4,91337.67165,10000
54,0.0001,1.5,0.4,121304.8587,10000
55,0.0001,1,0.5,197.4376491,400.5763508
56,0.0001,1.05,0.5,1232.545745,1184.989357
57,0.0001,1.1,0.5,5801.643558,4056.510096
58,0.0001,1.15,0.5,14315.38127,8422.516871
59,0.0001,1.2,0.5,22175.77286,10000
