,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.9177038677713583,0.9140769126544127
2,2,0.005,0.0025,0.0025,0.005,0.0,0.0,0.0,0.0,0.9638546494387034,0.9570666864255896
3,3,0.01,0.0025,0.0025,0.0075,0.0025,0.0025,0.0,1.0,0.9724792048294781,0.9588037908383104
4,4,0.0125,0.0025,0.0025,0.01,0.0025,0.0,0.0,0.0,0.8847185180532936,0.8684666617572543
5,5,0.0125,0.0,0.0,0.01,0.0025,0.0,0.0,0.0,1.0132242447740232,0.994611799701704
6,6,0.02,0.0025,0.0025,0.0125,0.0075,0.005,0.0,2.0,0.9324834079195096,0.9082364487244939
7,7,0.02,0.0,0.0,0.0125,0.0075,0.0,0.0,0.0,1.014335962889896,0.9879606274218883
8,8,0.0225,0.0025,0.0025,0.015,0.0075,0.0,0.0,0.0,0.8971640359648154,0.8694155193285524
9,9,0.025,0.0025,0.0025,0.0175,0.0075,0.0,0.0,0.0,0.9644962180288332,0.9305084428047412
10,10,0.0275,0.0025,0.0025,0.02,0.0075,0.0,0.0,0.0,0.8886996715339522,0.8534725215646883
11,11,0.03,0.0,0.0,0.02,0.01,0.0025,0.0,1.0,1.0198516721146538,0.9810146545981894
12,12,0.0375,0.0025,0.0025,0.0225,0.015,0.005,0.0,2.0,0.9178108259811824,0.8794355115342836
13,13,0.04,0.0,0.0,0.0225,0.0175,0.0025,0.0,1.0,1.0384968171648896,0.9942648812160554
14,14,0.045,0.0025,0.0025,0.025,0.02,0.0025,0.0,1.0,0.9863329287651392,0.9411960699688118
15,15,0.0525,0.0025,0.0025,0.0275,0.025,0.005,0.0,2.0,0.8947413148394234,0.8444781532365537
16,16,0.055,0.0,0.0,0.0275,0.0275,0.0025,0.0,1.0,1.0281319920811536,0.9678240438042146
17,17,0.0575,0.0,0.0,0.0275,0.03,0.0025,0.0,1.0,1.026770421477618,0.9655881793690956
18,18,0.0625,0.0,0.0,0.0275,0.035,0.005,0.0,2.0,1.014642535369811,0.948254941160677
19,19,0.065,0.0,0.0,0.0275,0.0375,0.0025,0.0,1.0,1.0337557548102376,0.9667441766769003
20,20,0.07,0.0025,0.0025,0.03,0.04,0.0025,0.0,1.0,1.0010452819041882,0.9333825731103254
21,21,0.0725,0.0,0.0,0.03,0.0425,0.0025,0.0,1.0,1.013880733667812,0.9459443041048006
22,22,0.075,0.0,0.0,0.03,0.045,0.0025,0.0,1.0,1.0239207593246165,0.9534592864755878
23,23,0.075,0.0,0.0,0.03,0.045,0.0,0.0,0.0,1.0416879399303978,0.97000381220065
24,24,0.0775,0.0,0.0,0.03,0.0475,0.0025,0.0,1.0,1.022185827338105,0.9516135389562634
25,25,0.08,0.0,0.0,0.03,0.05,0.0025,0.0,1.0,1.0703239370018702,0.9978944564804738
26,26,0.085,0.0,0.0,0.03,0.055,0.005,0.0,2.0,1.0365647631244115,0.9675970029231313
27,27,0.085,0.0,0.0,0.03,0.055,0.0,0.0,0.0,1.0390387254300066,0.9699063603288599
28,28,0.0875,0.0,0.0,0.03,0.0575,0.005,0.0025,1.9975,1.0496628412946776,0.9804161321002395
29,29,0.09,0.0,0.0,0.03,0.06,0.0025,0.0,1.0,1.0623970148968431,0.9920461151423398
30,30,0.09,0.0,0.0,0.03,0.06,0.0,0.0,0.0,1.0494450978055054,0.9799518614368596
31,31,0.095,0.0025,0.0025,0.0325,0.0625,0.0025,0.0,1.0,0.935551602263354,0.8723565494387071
32,32,0.095,0.0,0.0,0.0325,0.0625,0.0,0.0,0.0,1.0633713813811256,0.9915423016638515
33,33,0.0975,0.0,0.0,0.0325,0.065,0.0025,0.0,1.0,1.0516898610276955,0.9829412124698179
34,34,0.0975,0.0,0.0,0.0325,0.065,0.0,0.0,0.0,1.0450522452580469,0.9767374956381735
35,35,0.1,0.0,0.0,0.0325,0.0675,0.0025,0.0,1.0,1.0165009165778662,0.9506105328744723
36,36,0.1,0.0,0.0,0.0325,0.0675,0.0,0.0,0.0,1.0358542572495169,0.9687093748811432
37,37,0.115,0.0025,0.0025,0.035,0.08,0.0125,0.0,5.0,0.9026955604952596,0.8478681270621901
38,38,0.115,0.0,0.0,0.035,0.08,0.0,0.0,0.0,1.0082714764348066,0.9470316302718738
39,39,0.12,0.0025,0.0025,0.0375,0.0825,0.0025,0.0,1.0,0.94840805194691,0.8934123045161808
40,40,0.125,0.0,0.0,0.0375,0.0875,0.005,0.0,2.0,1.052153053179377,0.9940490498916414
41,41,0.13,0.0025,0.0025,0.04,0.09,0.0025,0.0,1.0,0.9172623391943151,0.8691548942264389
42,42,0.1325,0.0,0.0,0.04,0.0925,0.0025,0.0,1.0,1.0517534950064036,0.9980582661000471
43,43,0.1375,0.0025,0.0025,0.0425,0.095,0.0025,0.0,1.0,0.8927719182951606,0.8458524714587025
44,44,0.145,0.0025,0.0025,0.045,0.1,0.005,0.0,2.0,0.6531562831609087,0.6209906665951661
45,45,0.1475,0.0025,0.0025,0.0475,0.1,0.0025,0.0025,0.9975,0.8573970908734109,0.8133948734982932
46,46,0.1475,0.0,0.0,0.0475,0.1,0.0,0.0,0.0,1.050582305801465,0.9966656883060206
47,47,0.1525,0.0,0.0,0.0475,0.105,0.005,0.0,2.0,1.0246331028547624,0.9766810018276576
48,48,0.155,0.0025,0.0025,0.05,0.105,0.0,0.0,0.0,0.9007615266851993,0.8582890395798017
49,49,0.16,0.0025,0.0025,0.0525,0.1075,0.0025,0.0,1.0,0.9985632099799031,0.9516361212574153
50,50,0.1625,0.0025,0.0025,0.055,0.1075,0.0,0.0,0.0,0.9919049959556312,0.9466735037332885
51,51,0.165,0.0025,0.0025,0.0575,0.1075,0.0,0.0,0.0,0.8515166885248269,0.8138769520248832
52,52,0.165,0.0,0.0,0.0575,0.1075,0.0,0.0,0.0,1.033725034928336,0.9880311120112126
53,53,0.165,0.0,0.0,0.0575,0.1075,0.0,0.0,0.0,1.0032768578064744,0.9589288408230983
