,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.9177038677713583,0.9140769126544127
2,2,0.005,0.0025,0.0025,0.005,0.0,0.0,0.0,0.0,0.9638546494387034,0.9570666864255896
3,3,0.0075,0.0025,0.0025,0.0075,0.0,0.0,0.0,0.0,0.9691618215368252,0.9588037908383104
4,4,0.01,0.0025,0.0025,0.01,0.0,0.0,0.0,0.0,0.8814446284269455,0.8684666617572543
5,5,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0094748213399694,0.994611799701704
6,6,0.0125,0.0025,0.0025,0.0125,0.0,0.0,0.0,0.0,0.9284895567248808,0.9082364487244939
7,7,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,1.0099915350290494,0.9879606274218883
8,8,0.015,0.0025,0.0025,0.015,0.0,0.0,0.0,0.0,0.8930333722375938,0.8694155193285524
9,9,0.0175,0.0025,0.0025,0.0175,0.0,0.0,0.0,0.0,0.9612445923014561,0.9305084428047412
10,10,0.02,0.0025,0.0025,0.02,0.0,0.0,0.0,0.0,0.8868774447074537,0.8534725215646883
11,11,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0194115781203432,0.9810146545981894
12,12,0.0225,0.0025,0.0025,0.0225,0.0,0.0,0.0,0.0,0.917283650759913,0.8794355115342836
13,13,0.0225,0.0,0.0,0.0225,0.0,0.0,0.0,0.0,1.037054915457187,0.9942648812160554
14,14,0.025,0.0025,0.0025,0.025,0.0,0.0,0.0,0.0,0.9846985023201082,0.9411960699688118
15,15,0.0275,0.0025,0.0025,0.0275,0.0,0.0,0.0,0.0,0.8869619643794354,0.8444781532365537
16,16,0.0275,0.0,0.0,0.0275,0.0,0.0,0.0,0.0,1.0165131114123387,0.9678240438042146
17,17,0.0275,0.0,0.0,0.0275,0.0,0.0,0.0,0.0,1.0141647656275972,0.9655881793690956
18,18,0.03,0.0025,0.0025,0.03,0.0,0.0,0.0,0.0,1.0015189752959668,0.948254941160677
19,19,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0210467619748829,0.9667441766769003
20,20,0.0325,0.0025,0.0025,0.0325,0.0,0.0,0.0,0.0,0.9906091282885899,0.9333825731103254
21,21,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.003941030713944,0.9459443041048006
22,22,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0119167636554993,0.9534592864755878
23,23,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0294756496670927,0.97000381220065
24,24,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0099578516361054,0.9516135389562634
25,25,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0590762953330772,0.9978944564804738
26,26,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0269212766703755,0.9675970029231313
27,27,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0293722229302487,0.9699063603288599
28,28,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0405263586007545,0.9804161321002395
29,29,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0528693867386756,0.9920461151423398
30,30,0.0325,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,1.0400336230704474,0.9799518614368596
31,31,0.035,0.0025,0.0025,0.035,0.0,0.0,0.0,0.0,0.929659112411458,0.8723565494387071
32,32,0.035,0.0,0.0,0.035,0.0,0.0,0.0,0.0,1.0566738298420912,0.9915423016638515
33,33,0.035,0.0,0.0,0.035,0.0,0.0,0.0,0.0,1.047507760130066,0.9829412124698179
34,34,0.035,0.0,0.0,0.035,0.0,0.0,0.0,0.0,1.0408965391940057,0.9767374956381735
35,35,0.035,0.0,0.0,0.035,0.0,0.0,0.0,0.0,1.013053372281878,0.9506105328744723
36,36,0.035,0.0,0.0,0.035,0.0,0.0,0.0,0.0,1.0323410745481392,0.9687093748811432
37,37,0.0375,0.0025,0.0025,0.0375,0.0,0.0,0.0,0.0,0.9073363846561946,0.8478681270621901
38,38,0.0375,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,1.0134550741319672,0.9470316302718738
39,39,0.04,0.0025,0.0025,0.04,0.0,0.0,0.0,0.0,0.9593281795585071,0.8934123045161808
40,40,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0673898944573363,0.9940490498916414
41,41,0.0425,0.0025,0.0025,0.0425,0.0,0.0,0.0,0.0,0.9349488847611076,0.8691548942264389
42,42,0.0425,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,1.073610088392066,0.9980582661000471
43,43,0.045,0.0025,0.0025,0.045,0.0,0.0,0.0,0.0,0.9122820986342792,0.8458524714587025
44,44,0.0475,0.0025,0.0025,0.0475,0.0,0.0,0.0,0.0,0.6732212360846711,0.6209906665951661
45,45,0.05,0.0025,0.0025,0.05,0.0,0.0,0.0,0.0,0.8834501416693421,0.8133948734982932
46,46,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0825055237242944,0.9966656883060206
47,47,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0607996159594797,0.9766810018276576
48,48,0.0525,0.0025,0.0025,0.0525,0.0,0.0,0.0,0.0,0.9331821654116061,0.8582890395798017
49,49,0.0525,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,1.0346745855611355,0.9516361212574153
50,50,0.0525,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,1.0292789368300956,0.9466735037332885
51,51,0.055,0.0025,0.0025,0.055,0.0,0.0,0.0,0.0,0.8858276126601103,0.8138769520248832
52,52,0.055,0.0,0.0,0.055,0.0,0.0,0.0,0.0,1.0753778430625074,0.9880311120112126
53,53,0.055,0.0,0.0,0.055,0.0,0.0,0.0,0.0,1.0437027902852831,0.9589288408230983
54,54,0.055,0.0,0.0,0.055,0.0,0.0,0.0,0.0,1.0416806776773593,0.9570709727430482
